,Site,Year,Latitude,Longitude,Elevation,Decision,MAT.weath,MAP.weath,CMD.weath,MAT.weath.1,MAP.weath.1,CMD.weath.1,log.MAP.weath,log.MAP.weath.1,MAT.clim,MAP.clim,CMD.clim,log.MAP.clim,CMD.anom,MAT.anom,MAP.anom
82,S29,2016,39.39442,-121.083023,440,Remove,16.75,133.5833333,840,17.58333333,89.75,948,4.894725503,4.497028027,15.55722222,117.7,854.8333333,4.768139014,-14.83333333,1.192777778,0.126586489
11,S32,2010,37.539,-119.653999,1214,Included,11.84166667,84,757,12.875,63,828,4.430816799,4.143134726,12.37138889,88.30555556,807.6,4.480803022,-50.6,-0.529722222,-0.049986224
23,S32,2011,37.539,-119.653999,1214,Remove,12.125,110.9166667,731,11.84166667,84,757,4.708779169,4.430816799,12.37138889,88.30555556,807.6,4.480803022,-76.6,-0.246388889,0.227976146
35,S32,2012,37.539,-119.653999,1214,Included,12.54166667,58.41666667,788,12.125,110.9166667,731,4.067601237,4.708779169,12.37138889,88.30555556,807.6,4.480803022,-19.6,0.170277778,-0.413201785
47,S32,2013,37.539,-119.653999,1214,Unavailable,13.15833333,55.91666667,930,12.54166667,58.41666667,788,4.023862487,4.067601237,12.37138889,88.30555556,807.6,4.480803022,122.4,0.786944444,-0.456940535
59,S32,2014,37.539,-119.653999,1214,Included,13.74166667,42.5,882,13.15833333,55.91666667,930,3.749504076,4.023862487,12.37138889,88.30555556,807.6,4.480803022,74.4,1.370277778,-0.731298947
71,S32,2015,37.539,-119.653999,1214,Remove,14.225,62.91666667,872,13.74166667,42.5,882,4.141811099,3.749504076,12.37138889,88.30555556,807.6,4.480803022,64.4,1.853611111,-0.338991923
83,S32,2016,37.539,-119.653999,1214,Remove,13.39166667,101.8333333,805,14.225,62.91666667,872,4.62333749,4.141811099,12.37138889,88.30555556,807.6,4.480803022,-2.6,1.020277778,0.142534467
12,S36,2010,42.27411,-123.636169,393,Unavailable,11.7,118.8333333,594,12.15,88.83333333,762,4.777721951,4.486761955,12.1025,126.5944444,713.6666667,4.840988626,-119.6666667,-0.4025,-0.063266675
24,S36,2011,42.27411,-123.636169,393,Included,11.68333333,145.1666667,627,11.7,118.8333333,594,4.977882508,4.777721951,12.1025,126.5944444,713.6666667,4.840988626,-86.66666667,-0.419166667,0.136893882
36,S36,2012,42.27411,-123.636169,393,Included,11.8,123.8333333,683,11.68333333,145.1666667,627,4.818936575,4.977882508,12.1025,126.5944444,713.6666667,4.840988626,-30.66666667,-0.3025,-0.022052051
48,S36,2013,42.27411,-123.636169,393,Unavailable,12.56666667,118.9166667,665,11.8,123.8333333,683,4.778422968,4.818936575,12.1025,126.5944444,713.6666667,4.840988626,-48.66666667,0.464166667,-0.062565658
60,S36,2014,42.27411,-123.636169,393,Included,12.65833333,94.5,786,12.56666667,118.9166667,665,4.548599834,4.778422968,12.1025,126.5944444,713.6666667,4.840988626,72.33333333,0.555833333,-0.292388792
72,S36,2015,42.27411,-123.636169,393,Included,13.95,107.3333333,840,12.65833333,94.5,786,4.675939257,4.548599834,12.1025,126.5944444,713.6666667,4.840988626,126.3333333,1.8475,-0.165049369
84,S36,2016,42.27411,-123.636169,393,Remove,13.45833333,149.6666667,829,13.95,107.3333333,840,5.008410599,4.675939257,12.1025,126.5944444,713.6666667,4.840988626,115.3333333,1.355833333,0.167421973
